Drug	Target_Name	Target_Type	Target_UniProt	Target_Species	Database	Reference	Assay_Type	Assay_Relation	Assay_Value	EvidenceLevel_Assigned
Dovitinib	Dovitinib	FLT3	Protein	P36888	Homo sapiens	IUPHAR	22037378	Kd	=	0.639999986	III
Dovitinib	Dovitinib	FLT3	Protein	P36888	Homo sapiens	IUPHAR	15598814	IC50	=		III
Dovitinib	Dovitinib	FLT3	Protein	P36888	Homo sapiens	IUPHAR	19113866	IC50	=		III
Dovitinib	Dovitinib	KDR	Protein	P35968	Homo sapiens	IUPHAR	15598814	IC50	=		III
Dovitinib	Dovitinib	KDR	Protein	P35968	Homo sapiens	IUPHAR	19113866	IC50	=		III
Dovitinib	Dovitinib	FLT1	Protein	P17948	Homo sapiens	IUPHAR	15598814	IC50	=		III
Dovitinib	Dovitinib	FLT1	Protein	P17948	Homo sapiens	IUPHAR	19113866	IC50	=		III
Dovitinib	Dovitinib	FGFR1	Protein	P11362	Homo sapiens	IUPHAR	15598814	IC50	=		III
Dovitinib	Dovitinib	FGFR1	Protein	P11362	Homo sapiens	IUPHAR	19113866	IC50	=		III
Dovitinib	Dovitinib	FGFR3	Protein	P22607	Homo sapiens	IUPHAR	15598814	IC50	=		III
Dovitinib	Dovitinib	FGFR3	Protein	P22607	Homo sapiens	IUPHAR	19113866	IC50	=		III
Staurosporine	Staurosporine	PRKCI	Protein	P41743	Homo sapiens	IUPHAR	17875639	IC50	=	346	III
Staurosporine	Staurosporine	CHRM4	Protein	P08173	Homo sapiens	IUPHAR	10860942	NA	NA	NA	II
Staurosporine	Staurosporine	PHKG2	Protein	P15735	Homo sapiens	IUPHAR	19397322	IC50	=	0.100000001	III
Staurosporine	Staurosporine	HIPK1	Protein	Q86Z02	Homo sapiens	IUPHAR	19397322	IC50	=	2639	III
Staurosporine	Staurosporine	CAMK2B	Protein	Q13554	Homo sapiens	IUPHAR	19397322	IC50	<	0.100000001	III
Staurosporine	Staurosporine	STK3	Protein	Q13188	Homo sapiens	IUPHAR	19397322	IC50	=	0.409999996	III
Staurosporine	Staurosporine	DAPK1	Protein	P53355	Homo sapiens	IUPHAR	19397322	IC50	=	0.5	III
Staurosporine	Staurosporine	CHRM1	Protein	P11229	Homo sapiens	IUPHAR	10860942	NA	NA	NA	II
Staurosporine	Staurosporine	MAP2K4	Protein	P45985	Homo sapiens	IUPHAR	12166950	IC50	<	1	III
Staurosporine	Staurosporine	TNIK	Protein	Q9UKE5	Homo sapiens	IUPHAR	23232060	IC50	=	1.399999976	III
Staurosporine	Staurosporine	PRKACB	Protein	P22694	Homo sapiens	IUPHAR	21435888	IC50	=	33	III
Staurosporine	Staurosporine	PAK2	Protein	Q13177	Homo sapiens	IUPHAR	19397322	IC50	=	1	III
Staurosporine	Staurosporine	PKN1	Protein	Q16512	Homo sapiens	IUPHAR	19397322	IC50	=	1	III
Staurosporine	Staurosporine	MAP2K6	Protein	P52564	Homo sapiens	IUPHAR	12166950	IC50	<	1	III
Staurosporine	Staurosporine	CHRM2	Protein	P08172	Homo sapiens	IUPHAR	10860942	NA	NA	NA	II
Dacomitinib	Dacomitinib	EGFR	Protein	P00533	Homo sapiens	IUPHAR	22621397	IC50	=	6	III
Dacomitinib	Dacomitinib	ERBB2	Protein	P04626	Homo sapiens	IUPHAR	22621397	IC50	=	46	III
Dacomitinib	Dacomitinib	ERBB4	Protein	Q15303	Homo sapiens	IUPHAR	22621397	IC50	=	74	III
Dinaciclib	Dinaciclib	CDK1	Protein	P06493	Homo sapiens	IUPHAR	24007471	IC50	=	3	III
Dinaciclib	Dinaciclib	CDK2	Protein	P24941	Homo sapiens	IUPHAR	24007471	IC50	=	1	III
Dinaciclib	Dinaciclib	CDK9	Protein	P50750	Homo sapiens	IUPHAR	24007471	IC50	=	4	III
Dinaciclib	Dinaciclib	CDK5	Protein	Q00535	Homo sapiens	IUPHAR	24007471	IC50	=	1	III
Panobinostat	Panobinostat	HDAC9	Protein	Q9UKV0	Homo sapiens	IUPHAR	17868033	EC50	=	3	III
Panobinostat	Panobinostat	HDAC4	Protein	P56524	Homo sapiens	IUPHAR	17868033	EC50	=	12	III
Panobinostat	Panobinostat	HDAC7	Protein	Q8WUI4	Homo sapiens	IUPHAR	17868033	EC50	=	14	III
Panobinostat	Panobinostat	HDAC8	Protein	Q9BY41	Homo sapiens	IUPHAR	17868033	EC50	=	248	III
Panobinostat	Panobinostat	HDAC3	Protein	O15379	Homo sapiens	IUPHAR	17868033	EC50	=	4	III
Panobinostat	Panobinostat	HDAC2	Protein	Q92769	Homo sapiens	IUPHAR	17868033	EC50	=	3	III
Panobinostat	Panobinostat	HDAC1	Protein	Q13547	Homo sapiens	IUPHAR	17868033	EC50	=	3	III
Panobinostat	Panobinostat	HDAC6	Protein	Q9UBN7	Homo sapiens	IUPHAR	17868033	EC50	=	61	III
Lorlatinib	Lorlatinib	ROS1	Protein	P08922	Homo sapiens	IUPHAR	NA_IUPHAR	Ki	=	0.005	I
Lorlatinib	Lorlatinib	ALK	Protein	Q9UM73	Homo sapiens	IUPHAR	24819116	Ki	=	0.699999988	III
Lorlatinib	Lorlatinib	FES	Protein	P07332	Homo sapiens	IUPHAR	24819116	IC50	=	6	III
Trastuzumab	Trastuzumab	ERBB2	Protein	P04626	Homo sapiens	IUPHAR	NA_IUPHAR	NA	NA	NA	I
Aurora Kinase Inhibitor MLN8054	Aurora Kinase Inhibitor MLN8054	AURKB	Protein	Q96GD4	Homo sapiens	IUPHAR	19402633	IC50	=	9.300000191	III
Aurora Kinase Inhibitor MLN8054	Aurora Kinase Inhibitor MLN8054	AURKA	Protein	O14965	Homo sapiens	IUPHAR	22037378	Kd	=	6.5	III
Aurora Kinase Inhibitor MLN8054	Aurora Kinase Inhibitor MLN8054	AURKA	Protein	O14965	Homo sapiens	IUPHAR	17360485	IC50	=		III
Aurora Kinase Inhibitor MLN8054	Aurora Kinase Inhibitor MLN8054	AURKA	Protein	O14965	Homo sapiens	IUPHAR	19402633	IC50	=		III
Cabozantinib	Cabozantinib	KDR	Protein	P35968	Homo sapiens	IUPHAR	21926191	IC50	=	0.349999994	III
Cabozantinib	Cabozantinib	MET	Protein	P08581	Homo sapiens	IUPHAR	21926191	IC50	=	1.299999952	III
Dexamethasone	Dexamethasone	NR3C1	Protein	P04150	Homo sapiens	IUPHAR	8282004	NA	NA	NA	II
Dexamethasone	Dexamethasone	NR3C1	Protein	P04150	Homo sapiens	IUPHAR	10611474	NA	NA	NA	II
Dexamethasone	Dexamethasone	NR3C1	Protein	P04150	Homo sapiens	IUPHAR	10747884	NA	NA	NA	II
Dexamethasone	Dexamethasone	NR3C2	Protein	P08235	Homo sapiens	IUPHAR	8282004	NA	NA	NA	II
Dexamethasone	Dexamethasone	NR3C2	Protein	P08235	Homo sapiens	IUPHAR	10611474	NA	NA	NA	II
Dexamethasone	Dexamethasone	Nr1i2	Protein	O54915	Mouse	IUPHAR	9489701	NA	NA	NA	II
Goserelin Acetate	Goserelin Acetate	GNRHR	Protein	P30968	Homo sapiens	IUPHAR	NA_IUPHAR	NA	NA	NA	I
Ibritumomab Tiuxetan	Ibritumomab Tiuxetan	MS4A1	Protein	P11836	Homo sapiens	IUPHAR	NA_IUPHAR	NA	NA	NA	I
Pictilisib	Pictilisib	PIK3CA	Protein	P42336	Homo sapiens	IUPHAR	18754654	IC50	=	3	III
Pictilisib	Pictilisib	PIK3CG	Protein	P48736	Homo sapiens	IUPHAR	18754654	IC50	=	75	III
Pictilisib	Pictilisib	PIK3CB	Protein	P42338	Homo sapiens	IUPHAR	18754654	IC50	=	33	III
Pictilisib	Pictilisib	PIK3CD	Protein	O00329	Homo sapiens	IUPHAR	18754654	IC50	=	3	III
Vincristine Sulfate	Vincristine Sulfate	TUBB	Protein	P07437	Homo sapiens	IUPHAR	NA_IUPHAR	NA	NA	NA	I
Zoledronic Acid	Zoledronic Acid	Fdps	Protein	P05369	Rat	IUPHAR	18325729	IC50	=	500	III
Zoledronic Acid	Zoledronic Acid	FDPS	Protein	P14324	Homo sapiens	IUPHAR	18327899	IC50	=	475.2999878	III
Zoledronic Acid	Zoledronic Acid	FDPS	Protein	P14324	Homo sapiens	IUPHAR	18327899	Ki	=	0.07	III
Zoledronic Acid	Zoledronic Acid	FDPS	Protein	P14324	Homo sapiens	IUPHAR	18327899	IC50	=	4.099999905	III
Zoledronic Acid	Zoledronic Acid	FDPS	Protein	P14324	Homo sapiens	IUPHAR	18937434	IC50	=	4.099999905	III
Zoledronic Acid	Zoledronic Acid	FDPS	Protein	P14324	Homo sapiens	IUPHAR	18327899	Ki	=	85.90000153	III
Fludarabine Phosphate	Fludarabine Phosphate	RRM1	Protein	P23921	Homo sapiens	IUPHAR	7048062	IC50	=	1000	III
Fludarabine Phosphate	Fludarabine Phosphate	RRM2	Protein	P31350	Homo sapiens	IUPHAR	7048062	IC50	=	1000	III
B-Raf/VEGFR-2 Inhibitor RAF265	B-Raf/VEGFR-2 Inhibitor RAF265	BRAF	Protein	P15056	Homo sapiens	IUPHAR	22037378	Kd	=	1200	III
Paclitaxel	Paclitaxel	NR1I2	Protein	O75469	Homo sapiens	IUPHAR	11329060	NA	NA	NA	II
Paclitaxel	Paclitaxel	TUBB	Protein	P07437	Homo sapiens	IUPHAR	16377187	EC50	=	9	III
Paclitaxel	Paclitaxel	Tlr4	Protein	Q9QUK6	Mouse	IUPHAR	10644670	NA	NA	NA	II
Hydroxyurea	Hydroxyurea	RRM1	Protein	P23921	Homo sapiens	IUPHAR	15670581	IC50	=	148000	III
Hydroxyurea	Hydroxyurea	RRM2	Protein	P31350	Homo sapiens	IUPHAR	15670581	IC50	=	148000	III
BMS-345541	BMS-345541	IKBKB	Protein	O14920	Homo sapiens	IUPHAR	12403772	IC50	=	300	III
BMS-345541	BMS-345541	IKBKB	Protein	O14920	Homo sapiens	IUPHAR	22037378	Kd	=	130	III
BMS-345541	BMS-345541	CHUK	Protein	O15111	Homo sapiens	IUPHAR	12403772	IC50	=	4000	III
Brigatinib	Brigatinib	EGFR	Protein	P00533	Homo sapiens	IUPHAR	21502504	IC50	=	129	III
Brigatinib	Brigatinib	ALK	Protein	Q9UM73	Homo sapiens	IUPHAR	21502504	IC50	=	0.620000005	III
Brigatinib	Brigatinib	ALK	Protein	Q9UM73	Homo sapiens	IUPHAR	21502504	Ki	=	0.090000004	III
Sonidegib	Sonidegib	SMO	Protein	Q99835	Homo sapiens	IUPHAR	23063522	Ki	=	6	III
Bortezomib	Bortezomib	PSMB5	Protein	P28074	Homo sapiens	IUPHAR	19428245	IC50	=	20	III
Foretinib	Foretinib	MET	Protein	P08581	Homo sapiens	IUPHAR	23644189	IC50	=		III
Foretinib	Foretinib	MET	Protein	P08581	Homo sapiens	IUPHAR	23098265	IC50	=		III
Foretinib	Foretinib	MET	Protein	P08581	Homo sapiens	IUPHAR	22037378	Kd	=	1.399999976	III
Foretinib	Foretinib	FLT1	Protein	P17948	Homo sapiens	IUPHAR	23098265	IC50	=	0.800000012	III
Foretinib	Foretinib	FLT4	Protein	P35916	Homo sapiens	IUPHAR	23098265	IC50	=	2.799999952	III
Foretinib	Foretinib	KDR	Protein	P35968	Homo sapiens	IUPHAR	23098265	IC50	=		III
Romidepsin	Romidepsin	HDAC6	Protein	Q9UBN7	Homo sapiens	IUPHAR	20139990	Ki	=	9.5	III
Romidepsin	Romidepsin	HDAC8	Protein	Q9BY41	Homo sapiens	IUPHAR	20139990	Ki	=	0.150000006	III
Romidepsin	Romidepsin	HDAC3	Protein	O15379	Homo sapiens	IUPHAR	20139990	Ki	=	0.150000006	III
Romidepsin	Romidepsin	HDAC9	Protein	Q9UKV0	Homo sapiens	IUPHAR	20139990	Ki	=	1100	III
Romidepsin	Romidepsin	HDAC2	Protein	Q92769	Homo sapiens	IUPHAR	20139990	Ki	=	0.037999999	III
Romidepsin	Romidepsin	HDAC5	Protein	Q9UQL6	Homo sapiens	IUPHAR	20139990	Ki	=	550	III
Romidepsin	Romidepsin	HDAC4	Protein	P56524	Homo sapiens	IUPHAR	20139990	Ki	=	20.5	III
Romidepsin	Romidepsin	HDAC7	Protein	Q8WUI4	Homo sapiens	IUPHAR	20139990	Ki	=	1250	III
Romidepsin	Romidepsin	HDAC1	Protein	Q13547	Homo sapiens	IUPHAR	20139990	Ki	=	0.0015	III
Losartan	Losartan	AGTR1	Protein	P30556	Homo sapiens	IUPHAR	8372104	IC50	=		III
Everolimus	Everolimus	MTOR	Protein	P42345	Homo sapiens	IUPHAR	9723437	IC50	=	2	III
Dabrafenib	Dabrafenib	BRAF	Protein	P15056	Homo sapiens	IUPHAR	NA_IUPHAR	IC50	=	3.200000048	I
Durvalumab	Durvalumab	CD274	Protein	Q9NZQ7	Homo sapiens	IUPHAR	NA_IUPHAR	Kd	=	2	I
Alvocidib	Alvocidib	CDK4	Protein	P11802	Homo sapiens	IUPHAR	8674031	Ki	=	65	III
Alvocidib	Alvocidib	CDK2	Protein	P24941	Homo sapiens	IUPHAR	8674031	IC50	=		III
Alvocidib	Alvocidib	CDK2	Protein	P24941	Homo sapiens	IUPHAR	8002990	IC50	=		III
Imiquimod	Imiquimod	TLR7	Protein	Q9NYK1	Homo sapiens	IUPHAR	11812998	NA	NA	NA	II
Vandetanib	Vandetanib	EGFR	Protein	P00533	Homo sapiens	IUPHAR	12499271	IC50	=	300	III
Vandetanib	Vandetanib	RET	Protein	P07949	Homo sapiens	IUPHAR	12499271	IC50	=	100	III
Vandetanib	Vandetanib	RET	Protein	P07949	Homo sapiens	IUPHAR	22037378	Kd	=	34	III
Vandetanib	Vandetanib	KDR	Protein	P35968	Homo sapiens	IUPHAR	15743202	IC50	=	9	III
Palonosetron Hydrochloride	Palonosetron Hydrochloride	HTR3A	Protein	P46098	Homo sapiens	IUPHAR	20724042	Ki	=	0.032000002	III
Palifermin	Palifermin	FGFR2	Protein	P21802	Homo sapiens	IUPHAR	NA_IUPHAR	NA	NA	NA	I
Idelalisib	Idelalisib	PIK3CB	Protein	P42338	Homo sapiens	IUPHAR	20959606	IC50	=	565	III
Idelalisib	Idelalisib	PIK3CD	Protein	O00329	Homo sapiens	IUPHAR	20959606	IC50	=	2.5	III
Idelalisib	Idelalisib	PIK3CA	Protein	P42336	Homo sapiens	IUPHAR	20959606	IC50	=	820	III
Idelalisib	Idelalisib	PIK3CG	Protein	P48736	Homo sapiens	IUPHAR	20959606	IC50	=	89	III
Palbociclib	Palbociclib	CDK6	Protein	Q00534	Homo sapiens	IUPHAR	15542782	IC50	=	16	III
Palbociclib	Palbociclib	CDK4	Protein	P11802	Homo sapiens	IUPHAR	15542782	IC50	=	11	III
Masitinib	Masitinib	PDGFRB	Protein	P09619	Homo sapiens	IUPHAR	19789626	IC50	=	800	III
Masitinib	Masitinib	KIT	Protein	P10721	Homo sapiens	IUPHAR	22037378	Kd	=	8.100000381	III
Masitinib	Masitinib	KIT	Protein	P10721	Homo sapiens	IUPHAR	19789626	IC50	=	200	III
Masitinib	Masitinib	PDGFRA	Protein	P16234	Homo sapiens	IUPHAR	19789626	IC50	=	540	III
Bosutinib	Bosutinib	CAMK1D	Protein	Q8IU85	Homo sapiens	IUPHAR	19039322	IC50	=	92	III
Bosutinib	Bosutinib	ABL1	Protein	P00519	Homo sapiens	IUPHAR	12543790	IC50	=	1	III
Bosutinib	Bosutinib	STK4	Protein	Q13043	Homo sapiens	IUPHAR	19039322	IC50	=	191	III
Bosutinib	Bosutinib	TXK	Protein	P42681	Homo sapiens	IUPHAR	19039322	IC50	=	0.300000012	III
Bosutinib	Bosutinib	LYN	Protein	P07948	Homo sapiens	IUPHAR	19039322	IC50	=	8	III
Bosutinib	Bosutinib	STK24	Protein	Q9Y6E0	Homo sapiens	IUPHAR	19039322	IC50	=	3.900000095	III
Bosutinib	Bosutinib	STK10	Protein	O94804	Homo sapiens	IUPHAR	19039322	IC50	=	52	III
Bosutinib	Bosutinib	FRK	Protein	P42685	Homo sapiens	IUPHAR	19039322	IC50	=	2.200000048	III
Bosutinib	Bosutinib	FYN	Protein	P06241	Homo sapiens	IUPHAR	19039322	IC50	=	1.799999952	III
Bosutinib	Bosutinib	MAP4K5	Protein	Q9Y4K4	Homo sapiens	IUPHAR	19039322	IC50	=	0.300000012	III
Bosutinib	Bosutinib	TNK2	Protein	Q07912	Homo sapiens	IUPHAR	19039322	IC50	=	2.700000048	III
Bosutinib	Bosutinib	SRC	Protein	P12931	Homo sapiens	IUPHAR	17721511	IC50	=	1	III
Bosutinib	Bosutinib	CAMK2G	Protein	Q13555	Homo sapiens	IUPHAR	19039322	IC50	=	184	III
Etoposide Phosphate	Etoposide Phosphate	TOP2A	Protein	P11388	Homo sapiens	IUPHAR	NA_IUPHAR	IC50	=	50.40000153	I
Etoposide Phosphate	Etoposide Phosphate	TOP2A	Protein	P11388	Homo sapiens	IUPHAR	NA_IUPHAR	IC50	=	50.40000153	I
Vismodegib	Vismodegib	SMO	Protein	Q99835	Homo sapiens	IUPHAR	23063522	Ki	=	16.20000076	III
Etoposide	Etoposide Phosphate	TOP2A	Protein	P11388	Homo sapiens	IUPHAR	NA_IUPHAR	IC50	=	50.40000153	I
Etoposide	Etoposide Phosphate	TOP2A	Protein	P11388	Homo sapiens	IUPHAR	NA_IUPHAR	IC50	=	50.40000153	I
Birinapant	Birinapant	XIAP	Protein	P98170	Homo sapiens	IUPHAR	23225169	Kd	=	45	III
Birinapant	Birinapant	BIRC2	Protein	Q13490	Homo sapiens	IUPHAR	23225169	Kd	<	1	III
PLX-4720	PLX-4720	KDR	Protein	P35968	Homo sapiens	IUPHAR	12538485	Ki	=	9	III
PLX-4720	PLX-4720	BRAF	Protein	P15056	Homo sapiens	IUPHAR	22037378	Kd	=	330	III
PLX-4720	PLX-4720	BRAF	Protein	P15056	Homo sapiens	IUPHAR	18287029	IC50	=	160	III
Filgrastim	Filgrastim	CSF1R	Protein	P07333	Homo sapiens	IUPHAR	NA_IUPHAR	NA	NA	NA	I
Filgrastim	Filgrastim	CSF3R	Protein	Q99062	Homo sapiens	IUPHAR	NA_IUPHAR	NA	NA	NA	I
Filgrastim	Filgrastim	CSF2RB|CSF2RA	Protein	P32927|P15509	Homo sapiens	IUPHAR	NA_IUPHAR	NA	NA	NA	I
Crizotinib	Crizotinib	MET	Protein	P08581	Homo sapiens	IUPHAR	21812414	Ki	=	2	III
Crizotinib	Crizotinib	MET	Protein	P08581	Homo sapiens	IUPHAR	21708465	IC50	=	0.779999971	III
Crizotinib	Crizotinib	ALK	Protein	Q9UM73	Homo sapiens	IUPHAR	21812414	IC50	=	1	III
Motesanib	Motesanib	FLT1	Protein	P17948	Homo sapiens	IUPHAR	23098265	IC50	=	2	III
Motesanib	Motesanib	KDR	Protein	P35968	Homo sapiens	IUPHAR	22037378	Kd	=	2.599999905	III
Motesanib	Motesanib	KDR	Protein	P35968	Homo sapiens	IUPHAR	23098265	IC50	=	3	III
Motesanib	Motesanib	FLT4	Protein	P35916	Homo sapiens	IUPHAR	23098265	IC50	=	6	III
Trabectedin	Trabectedin	Nr1i2	Protein	O54915	Mouse	IUPHAR	11329060	NA	NA	NA	II
Larotrectinib	Larotrectinib	NTRK1	Protein	P04629	Homo sapiens	IUPHAR	NA_IUPHAR	IC50	=	9.699999809	I
Ziv-Aflibercept	Ziv-Aflibercept	VEGFA	Protein	P15692	Homo sapiens	IUPHAR	24179482	NA	NA	NA	II
Ziv-Aflibercept	Ziv-Aflibercept	VEGFA	Protein	P15692	Homo sapiens	IUPHAR	24144450	NA	NA	NA	II
Ziv-Aflibercept	Ziv-Aflibercept	VEGFA	Protein	P15692	Homo sapiens	IUPHAR	19236257	NA	NA	NA	II
Infigratinib	Infigratinib	FGFR1	Protein	P11362	Homo sapiens	IUPHAR	21936542	IC50	=	0.899999976	III
Infigratinib	Infigratinib	KDR	Protein	P35968	Homo sapiens	IUPHAR	21936542	IC50	=	180	III
Infigratinib	Infigratinib	FGFR3	Protein	P22607	Homo sapiens	IUPHAR	21936542	IC50	=	1	III
Infigratinib	Infigratinib	FGFR2	Protein	P21802	Homo sapiens	IUPHAR	21936542	IC50	=	1.399999976	III
Infigratinib	Infigratinib	FGFR4	Protein	P22455	Homo sapiens	IUPHAR	21936542	IC50	=	60	III
Belinostat	Belinostat	HDAC5	Protein	Q9UQL6	Homo sapiens	IUPHAR	20139990	Ki	=	175	III
Belinostat	Belinostat	HDAC1	Protein	Q13547	Homo sapiens	IUPHAR	17868033	EC50	=	41	III
Belinostat	Belinostat	HDAC1	Protein	Q13547	Homo sapiens	IUPHAR	20139990	Ki	=	0.850000024	III
Belinostat	Belinostat	HDAC6	Protein	Q9UBN7	Homo sapiens	IUPHAR	20139990	Ki	=	1.600000024	III
Belinostat	Belinostat	HDAC6	Protein	Q9UBN7	Homo sapiens	IUPHAR	17868033	EC50	=	82	III
Belinostat	Belinostat	HDAC2	Protein	Q92769	Homo sapiens	IUPHAR	17868033	EC50	=	125	III
Belinostat	Belinostat	HDAC2	Protein	Q92769	Homo sapiens	IUPHAR	20139990	Ki	=	0.850000024	III
Belinostat	Belinostat	HDAC7	Protein	Q8WUI4	Homo sapiens	IUPHAR	20139990	Ki	=	75	III
Belinostat	Belinostat	HDAC7	Protein	Q8WUI4	Homo sapiens	IUPHAR	17868033	EC50	=	67	III
Belinostat	Belinostat	HDAC8	Protein	Q9BY41	Homo sapiens	IUPHAR	20139990	Ki	=	25	III
Belinostat	Belinostat	HDAC8	Protein	Q9BY41	Homo sapiens	IUPHAR	17868033	EC50	=	216	III
Belinostat	Belinostat	HDAC9	Protein	Q9UKV0	Homo sapiens	IUPHAR	20139990	Ki	=	250	III
Belinostat	Belinostat	HDAC9	Protein	Q9UKV0	Homo sapiens	IUPHAR	17868033	EC50	=	128	III
Belinostat	Belinostat	HDAC4	Protein	P56524	Homo sapiens	IUPHAR	17868033	EC50	=	115	III
Belinostat	Belinostat	HDAC4	Protein	P56524	Homo sapiens	IUPHAR	20139990	Ki	=	380	III
Belinostat	Belinostat	HDAC3	Protein	O15379	Homo sapiens	IUPHAR	17868033	EC50	=	30	III
Belinostat	Belinostat	HDAC3	Protein	O15379	Homo sapiens	IUPHAR	20139990	Ki	=	1.5	III
Thioguanine	Thioguanine	IMPDH1	Protein	P20839	Homo sapiens	IUPHAR	18609073	NA	NA	NA	II
Thioguanine	Thioguanine	IMPDH1	Protein	P20839	Homo sapiens	IUPHAR	14529546	NA	NA	NA	II
Thioguanine	Thioguanine	IMPDH2	Protein	P12268	Homo sapiens	IUPHAR	18609073	NA	NA	NA	II
Thioguanine	Thioguanine	IMPDH2	Protein	P12268	Homo sapiens	IUPHAR	14529546	NA	NA	NA	II
Alisertib	Alisertib	AURKA	Protein	O14965	Homo sapiens	IUPHAR	19320489	IC50	=	1	III
Venetoclax	Venetoclax	BCL2L2	Protein	Q92843	Homo sapiens	IUPHAR	23291630	Ki	=	245	III
Venetoclax	Venetoclax	MCL1	Protein	Q07820	Homo sapiens	IUPHAR	23291630	Ki	>	444	III
Venetoclax	Venetoclax	BCL2L1	Protein	Q07817	Homo sapiens	IUPHAR	23291630	Ki	=	48	III
Venetoclax	Venetoclax	BCL2	Protein	P10415	Homo sapiens	IUPHAR	23291630	Ki	<	0.01	III
Dactolisib	Dactolisib	MTOR	Protein	P42345	Homo sapiens	IUPHAR	18606717	IC50	=	6	III
Dactolisib	Dactolisib	PIK3CA	Protein	P42336	Homo sapiens	IUPHAR	18606717	IC50	=	4	III
Dactolisib	Dactolisib	PIK3CD	Protein	O00329	Homo sapiens	IUPHAR	18606717	IC50	=	7	III
Dactolisib	Dactolisib	PIK3CG	Protein	P48736	Homo sapiens	IUPHAR	18606717	IC50	=	5	III
Dactolisib	Dactolisib	ATR	Protein	Q13535	Homo sapiens	IUPHAR	21552262	IC50	=	21	III
Cerdulatinib	Cerdulatinib	JAK2	Protein	O60674	Homo sapiens	IUPHAR	25253883	IC50	=	6	III
Cerdulatinib	Cerdulatinib	SYK	Protein	P43405	Homo sapiens	IUPHAR	25253883	IC50	=	32	III
Cerdulatinib	Cerdulatinib	STK4	Protein	Q13043	Homo sapiens	IUPHAR	25253883	IC50	=	4	III
Cerdulatinib	Cerdulatinib	JAK3	Protein	P52333	Homo sapiens	IUPHAR	25253883	IC50	=	8	III
Cerdulatinib	Cerdulatinib	NUAK1	Protein	O60285	Homo sapiens	IUPHAR	25253883	IC50	=	4	III
Cerdulatinib	Cerdulatinib	CSF1R	Protein	P07333	Homo sapiens	IUPHAR	25253883	IC50	=	5	III
Cerdulatinib	Cerdulatinib	JAK1	Protein	P23458	Homo sapiens	IUPHAR	25253883	IC50	=	12	III
Cerdulatinib	Cerdulatinib	TYK2	Protein	P29597	Homo sapiens	IUPHAR	25253883	IC50	=	0.5	III
Cerdulatinib	Cerdulatinib	MAP3K9	Protein	P80192	Homo sapiens	IUPHAR	25253883	IC50	=	5	III
AST-487	AST-487	FLT3	Protein	P36888	Homo sapiens	IUPHAR	18820131	Ki	=	120	III
AST-487	AST-487	FLT3	Protein	P36888	Homo sapiens	IUPHAR	22037378	Kd	=	0.790000021	III
AST-487	AST-487	FLT3	Protein	P36888	Homo sapiens	IUPHAR	17638907	IC50	=	520	III
AST-487	AST-487	RET	Protein	P07949	Homo sapiens	IUPHAR	17638907	IC50	=	880	III
AST-487	AST-487	KIT	Protein	P10721	Homo sapiens	IUPHAR	17638907	IC50	=	500	III
AST-487	AST-487	KDR	Protein	P35968	Homo sapiens	IUPHAR	17638907	IC50	=	170	III
Aprepitant	Aprepitant	TACR1	Protein	P25103	Homo sapiens	IUPHAR	9804700	Ki	=	0.090000004	III
Aprepitant	Aprepitant	TACR1	Protein	P25103	Homo sapiens	IUPHAR	10737756	Ki	=	0.090000004	III
Vargetef	Vargetef	FLT4	Protein	P35916	Homo sapiens	IUPHAR	18559524	IC50	=	13	III
Vargetef	Vargetef	PDGFRB	Protein	P09619	Homo sapiens	IUPHAR	18559524	IC50	=	65	III
Vargetef	Vargetef	FGFR3	Protein	P22607	Homo sapiens	IUPHAR	18559524	IC50	=	108	III
Vargetef	Vargetef	PDGFRA	Protein	P16234	Homo sapiens	IUPHAR	18559524	IC50	=	59	III
Vargetef	Vargetef	FGFR2	Protein	P21802	Homo sapiens	IUPHAR	18559524	IC50	=	37	III
Vargetef	Vargetef	FLT1	Protein	P17948	Homo sapiens	IUPHAR	18559524	IC50	=	31	III
Vargetef	Vargetef	FGFR4	Protein	P22455	Homo sapiens	IUPHAR	18559524	IC50	=	610	III
Vargetef	Vargetef	KDR	Protein	P35968	Homo sapiens	IUPHAR	18559524	IC50	=	21	III
Vargetef	Vargetef	FGFR1	Protein	P11362	Homo sapiens	IUPHAR	18559524	IC50	=	69	III
Romiplostim	Romiplostim	MPL	Protein	P40238	Homo sapiens	IUPHAR	NA_IUPHAR	NA	NA	NA	I
Torkinib	Torkinib	PASK	Protein	Q96RG2	Homo sapiens	IUPHAR	18849971	NA	NA	NA	II
Torkinib	Torkinib	MTOR	Protein	P42345	Homo sapiens	IUPHAR	18849971	IC50	=	8	III
PHT-427	PHT-427	AKT2	Protein	P31751	Homo sapiens	IUPHAR	20197390	Ki	=	2670	III
PHT-427	PHT-427	PDPK1	Protein	O15530	Homo sapiens	IUPHAR	20197390	Ki	=	5200	III
Seliciclib	Roscovitine	CDK2	Protein	P24941	Homo sapiens	IUPHAR	23252711	Ki	=	250	III
Seliciclib	Roscovitine	CDK2	Protein	P24941	Homo sapiens	IUPHAR	23252711	Ki	=	250	III
Seliciclib	Roscovitine	CDK9	Protein	P50750	Homo sapiens	IUPHAR	23252711	Ki	=	790	III
Seliciclib	Roscovitine	CDK9	Protein	P50750	Homo sapiens	IUPHAR	23252711	Ki	=	790	III
