Drug	Target_Name	Target_Type	Target_UniProt	Target_Species	Database	Reference	Assay_Type	Assay_Relation	Assay_Value	EvidenceLevel_Assigned
Methotrexate	Dihydrofolate reductase	Protein	P00375	Mus musculus	BindingDB	2296020	Ki	=	 3900	III
Methotrexate	Dihydrofolate reductase	Protein	P00375	Mus musculus	BindingDB	2299633	Ki	=	 0.006000	III
Methotrexate	Dihydrofolate reductase	Protein	P00375	Mus musculus	BindingDB	6737432	IC50	=	 50	III
Methotrexate	Dihydrofolate reductase	Protein	P00375	Mus musculus	BindingDB	8340923	Ki	=	 0.00575	III
Methotrexate	Dihydrofolate reductase	Protein	P00375	Mus musculus	BindingDB	2898531	IC50	=	 25	III
Methotrexate	Dihydrofolate reductase	Protein	P00375	Mus musculus	BindingDB	2296020	Ki	=	 3900	III
Methotrexate	Dihydrofolate reductase	Protein	P00375	Mus musculus	BindingDB	8277497	Ki	=	 0.004820	III
Methotrexate	Dihydrofolate reductase	Protein	P00375	Mus musculus	BindingDB	3385730	IC50	=	 25	III
Methotrexate	Dihydrofolate reductase	Protein	P00375	Mus musculus	BindingDB	3712374	Ki	=	 0.00442	III
Methotrexate	Dihydrofolate reductase	Protein	P00375	Mus musculus	BindingDB	3184124	Ki	=	 0.00545	III
Methotrexate	Dihydrofolate reductase	Protein	P00375	Mus musculus	BindingDB	1501226	Ki	=	 0.004820	III
Methotrexate	Dihydrofolate reductase	Protein	P00375	Mus musculus	BindingDB	7143361	Ki	=	 0.003200	III
Methotrexate	Dihydrofolate reductase	Protein	P00375	Mus musculus	BindingDB	2428979	IC50	=	 35	III
Methotrexate	Dihydrofolate reductase	Protein	P00375	Mus musculus	BindingDB	3112397	IC50	=	 25	III
Methotrexate	Dihydrofolate reductase	Protein	P00375	Mus musculus	BindingDB	8201595	IC50	=	 6.6	III
Methotrexate	Dihydrofolate reductase	Protein	P00375	Mus musculus	BindingDB	7057425	Ki	=	 0.004300	III
Methotrexate	Dihydrofolate reductase	Protein	P00375	Mus musculus	BindingDB	4020824	Ki	=	 0.006000	III
Methotrexate	Dihydrofolate reductase	Protein	P00375	Mus musculus	BindingDB	7108907	Ki	=	 0.006000	III
Methotrexate	Dihydrofolate reductase	Protein	P00375	Mus musculus	BindingDB	1995880	IC50	=	 25	III
Methotrexate	Dihydrofolate reductase	Protein	P00375	Mus musculus	BindingDB	8863812	IC50	=	 73	III
Methotrexate	Dihydrofolate reductase	Protein	P00375	Mus musculus	BindingDB	1732549	Ki	=	 0.006000	III
Methotrexate	Dihydrofolate reductase	Protein	P00375	Mus musculus	BindingDB	3462394	IC50	=	 20	III
Methotrexate	Thymidylate synthase (TS)	Protein	P07382	Leishmania major	BindingDB	3599028	Ki	=	 0.129	III
Methotrexate	ATIC	Protein	P31939	Homo sapiens	BindingDB	3121855	IC50	>	20000	III
Methotrexate	Dihydrofolate reductase	Protein	P00381	Lactobacillus casei	BindingDB	8691474	IC50	=	 55	III
Methotrexate	Dihydrofolate reductase	Protein	P00381	Lactobacillus casei	BindingDB	8201595	IC50	=	 1.3	III
Methotrexate	Dihydrofolate reductase	Protein	P00381	Lactobacillus casei	BindingDB	10956221	IC50	=	 11	III
Methotrexate	Dihydrofolate reductase	Protein	P00381	Lactobacillus casei	BindingDB	12570380	IC50	=	 22	III
Methotrexate	Dihydrofolate reductase	Protein	P00381	Lactobacillus casei	BindingDB	3184124	IC50	=	 16	III
Methotrexate	Dihydrofolate reductase	Protein	P00381	Lactobacillus casei	BindingDB	109616	IC50	=	 3	III
Methotrexate	Dihydrofolate reductase	Protein	P00381	Lactobacillus casei	BindingDB	3091834	IC50	=	 10	III
Methotrexate	Dihydrofolate reductase	Protein	P00381	Lactobacillus casei	BindingDB	2447278	IC50	=	 15	III
Methotrexate	Dihydrofolate reductase	Protein	P00381	Lactobacillus casei	BindingDB	2447278	IC50	=	 26	III
Methotrexate	Dihydrofolate reductase	Protein	P00381	Lactobacillus casei	BindingDB	3712374	IC50	=	 10	III
Methotrexate	Dihydrofolate reductase	Protein	P00381	Lactobacillus casei	BindingDB	7562910	IC50	=	 6	III
Methotrexate	Dihydrofolate reductase	Protein	P00381	Lactobacillus casei	BindingDB	16078850	IC50	=	 22	III
Methotrexate	Dihydrofolate reductase	Protein	P00381	Lactobacillus casei	BindingDB	3121855	IC50	=	 16	III
Methotrexate	Dihydrofolate reductase	Protein	P00381	Lactobacillus casei	BindingDB	8164259	IC50	=	 6	III
Methotrexate	Dihydrofolate reductase	Protein	P00381	Lactobacillus casei	BindingDB	2447278	IC50	=	 15	III
Methotrexate	Dihydrofolate reductase	Protein	P00381	Lactobacillus casei	BindingDB	2447278	IC50	=	 16	III
Methotrexate	Dihydrofolate reductase	Protein	P00381	Lactobacillus casei	BindingDB	2447278	IC50	=	 16	III
Methotrexate	Dihydrofolate reductase	Protein	P00381	Lactobacillus casei	BindingDB	7108907	IC50	=	 12	III
Methotrexate	Dihydrofolate reductase	Protein	P00381	Lactobacillus casei	BindingDB	6403710	IC50	=	 8	III
Methotrexate	Dihydrofolate reductase	Protein	P00381	Lactobacillus casei	BindingDB	409842	IC50	=	 3	III
Methotrexate	Dihydrofolate reductase	Protein	P00381	Lactobacillus casei	BindingDB	20580561	IC50	=	 5	III
Methotrexate	Dihydrofolate reductase	Protein	P00381	Lactobacillus casei	BindingDB	8691474	IC50	=	 2.2	III
Methotrexate	Dihydrofolate reductase	Protein	P00381	Lactobacillus casei	BindingDB	15615538	IC50	=	 22	III
Methotrexate	Dihydrofolate reductase	Protein	P00381	Lactobacillus casei	BindingDB	6438320	Ki	=	 0.004	III
Methotrexate	Dihydrofolate reductase	Protein	P00381	Lactobacillus casei	BindingDB	3100797	IC50	=	 8	III
Methotrexate	Dihydrofolate reductase	Protein	P00381	Lactobacillus casei	BindingDB	6772788	IC50	=	 9.6	III
Methotrexate	Dihydrofolate reductase	Protein	P00381	Lactobacillus casei	BindingDB	17569517	IC50	=	 6	III
Methotrexate	Dihydrofolate reductase	Protein	P00381	Lactobacillus casei	BindingDB	3091832	IC50	=	 8.5	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	DrugBank	17130456	NA	NA	NA	II
Methotrexate	DHFR	Protein	P00374	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Methotrexate	DHFR	Protein	P00374	Homo sapiens	DrugBank	16971132	NA	NA	NA	II
Methotrexate	DHFR	Protein	P00374	Homo sapiens	DrugBank	16936229	NA	NA	NA	II
Methotrexate	DHFR	Protein	P00374	Homo sapiens	DrugBank	16647263	NA	NA	NA	II
Methotrexate	DHFR	Protein	P00374	Homo sapiens	DrugBank	17333344	NA	NA	NA	II
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	10360757	Ki	=	 0.038000	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	23665106	IC50	=	 2.1	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	7877140	Ki	=	 0.001200	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	6403710	IC50	=	 1.2	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	20092323	IC50	=	 22	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	IUPHAR	7877140	Ki	=	1.200000048	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	19719239	IC50	=	 20	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	17552508	IC50	=	 22	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	16279780	IC50	=	 22	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	9857098	Ki	=	 5.2	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	6772788	IC50	=	 9.6	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	17127067	IC50	=	 9	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	11052789	IC50	=	 22	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	11052789	IC50	=	 13.8	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	8164259	IC50	=	 4	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	3091832	IC50	=	 2.7	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	17569517	IC50	=	 20	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	18072727	IC50	=	 20	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	110934	IC50	=	 1.5	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	21550809	IC50	=	 22	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	20056546	IC50	=	 22	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	11052789	IC50	=	 44	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	15615538	IC50	=	 22	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	18555562	IC50	=	 32.94	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	15615522	IC50	=	 9	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	20350811	IC50	=	 80	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	18800768	IC50	=	 20	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	11960504	IC50	=	 22	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	8568827	IC50	=	 0.720000	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	8035423	IC50	=	 11	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	1992122	IC50	=	 24	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	18205293	IC50	=	 1	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	26518975	IC50	=	 18	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	2296020	IC50	=	 30	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	3339615	IC50	=	 3.8	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	11052790	IC50	=	 2	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	8691474	IC50	=	 38	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	10360757	Ki	=	 0.179	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	18605720	IC50	=	 22	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	8568827	IC50	=	 1.4	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	22739090	IC50	=	 20	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	2918496	IC50	=	 20	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	2704031	IC50	=	 4.3	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	1992121	IC50	=	 3.9	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	8691451	IC50	=	 0.82	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	7562910	IC50	=	 40	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	11052789	IC50	=	 6	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	7877140	Ki	=	 0.110000	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	1992118	IC50	=	 25	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	8568828	IC50	=	 720	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	23627352	IC50	=	 1.7	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	11384244	IC50	=	 66	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	22946585	Ki	=	 0.000340	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	10956221	IC50	=	 22	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	1995880	IC50	=	 24	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	11052789	IC50	=	 14.5	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	16078850	IC50	=	 22	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	7562910	IC50	=	 0.700000	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	15561838	IC50	=	 24.3	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	17532099	Ki	=	 4420	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	17127067	IC50	=	 35	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	12408727	IC50	=	 22	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	1578484	IC50	=	 2.7	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	12570380	IC50	=	 22	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	8568827	IC50	=	 0.60	III
Methotrexate	DHFR	Protein	P00374	Homo sapiens	BindingDB	7365749	IC50	=	 26	III
Methotrexate	Dihydrofolate Reductase (DHFR)	Protein	P16184	Pneumocystis carinii	BindingDB	7490723	IC50	=	 1.3	III
Methotrexate	Dihydrofolate Reductase (DHFR)	Protein	P16184	Pneumocystis carinii	BindingDB	7490723	IC50	=	 880	III
Methotrexate	Dihydrofolate Reductase (DHFR)	Protein	P16184	Pneumocystis carinii	BindingDB	9089339	IC50	=	 1	III
Methotrexate	Dihydrofolate Reductase (DHFR)	Protein	P16184	Pneumocystis carinii	BindingDB	7490723	Ki	=	 0.008000	III
Methotrexate	Dihydrofolate Reductase (DHFR)	Protein	P16184	Pneumocystis carinii	BindingDB	7783147	IC50	=	 1	III
Methotrexate	Dihydrofolate Reductase (DHFR)	Protein	P16184	Pneumocystis carinii	BindingDB	8691474	IC50	=	 1.3	III
Methotrexate	Dihydrofolate Reductase (DHFR)	Protein	P16184	Pneumocystis carinii	BindingDB	9301666	IC50	=	 1.3	III
Methotrexate	Dihydrofolate Reductase (DHFR)	Protein	P16184	Pneumocystis carinii	BindingDB	9554874	IC50	=	 1	III
Methotrexate	Dihydrofolate Reductase (DHFR)	Protein	P16184	Pneumocystis carinii	BindingDB	8164259	IC50	=	 1	III
Methotrexate	Gart	Protein	Q64737	Mouse	BindingDB	3184124	IC50	>	20000	III
Methotrexate	Gart	Protein	Q64737	Mouse	BindingDB	3184124	IC50	>	20000	III
Methotrexate	FPGS	Protein	Q05932	Homo sapiens	BindingDB	8863812	IC50	=	 3200	III
Methotrexate	Canalicular multispecific organic anion transporter 2	Protein	O88563	Rattus norvegicus	BindingDB	11837698	Ki	=	 90000	III
Methotrexate	Folylpoly-gamma-glutamate synthetase	Protein	P48760	Mus musculus	BindingDB	2871191	Ki	=	 166000	III
Methotrexate	Dihydrofolate Reductase (DHFR)	Protein	P0ABQ4	Escherichia coli	BindingDB	11384244	IC50	=	 4400	III
Methotrexate	Dihydrofolate Reductase (DHFR)	Protein	P0ABQ4	Escherichia coli	BindingDB	11960504	IC50	=	 9	III
Methotrexate	Dihydrofolate Reductase (DHFR)	Protein	P0ABQ4	Escherichia coli	BindingDB	17125251	IC50	=	 3	III
Methotrexate	Dihydrofolate Reductase (DHFR)	Protein	P0ABQ4	Escherichia coli	BindingDB	12570380	IC50	=	 7	III
Methotrexate	Dihydrofolate Reductase (DHFR)	Protein	P0ABQ4	Escherichia coli	BindingDB	18072727	IC50	=	 8.8	III
Methotrexate	Dihydrofolate Reductase (DHFR)	Protein	P0ABQ4	Escherichia coli	BindingDB	12408727	IC50	=	 6	III
Methotrexate	Dihydrofolate Reductase (DHFR)	Protein	P0ABQ4	Escherichia coli	BindingDB	15615538	IC50	=	 7	III
Methotrexate	Dihydrofolate Reductase (DHFR)	Protein	P0ABQ4	Escherichia coli	BindingDB	16873019	EC50	=	 1	III
Methotrexate	Dihydrofolate Reductase (DHFR)	Protein	P0ABQ4	Escherichia coli	BindingDB	10956221	IC50	=	 9	III
Methotrexate	Dihydrofolate Reductase (DHFR)	Protein	P0ABQ4	Escherichia coli	BindingDB	17552508	IC50	=	 6.6	III
Methotrexate	Dihydrofolate Reductase (DHFR)	Protein	P0ABQ4	Escherichia coli	BindingDB	19719239	IC50	=	 8.8	III
Methotrexate	Dihydrofolate Reductase (DHFR)	Protein	P0ABQ4	Escherichia coli	BindingDB	16279780	IC50	=	 6.6	III
Methotrexate	Dihydrofolate Reductase (DHFR)	Protein	P0ABQ4	Escherichia coli	BindingDB	15081026	KD	<	1	III
Methotrexate	Solute carrier family 22 member 20	Protein	Q80UJ1	Mus musculus	BindingDB	17553798	Ki	=	 597000	III
Methotrexate	Dihydrofolate reductase (DHFR)	Protein	P00376	Bos taurus	BindingDB	25139568	IC50	=	 8.0	III
Methotrexate	Dihydrofolate reductase (DHFR)	Protein	P00376	Bos taurus	BindingDB	20350811	IC50	=	 80	III
Methotrexate	Dihydrofolate reductase (DHFR)	Protein	P00376	Bos taurus	BindingDB	20036565	IC50	=	 3.4	III
Methotrexate	Dihydrofolate reductase (DHFR)	Protein	P00376	Bos taurus	BindingDB	4009615	IC50	=	 1.7	III
Methotrexate	Dihydrofolate reductase (DHFR)	Protein	P00376	Bos taurus	BindingDB	19703036	IC50	=	 3.4	III
Methotrexate	Dihydrofolate reductase (DHFR)	Protein	P00376	Bos taurus	BindingDB	6585550	IC50	=	 3.3	III
Methotrexate	Dihydrofolate reductase (DHFR)	Protein	P00376	Bos taurus	BindingDB	23454532	IC50	=	 80	III
Methotrexate	Dihydrofolate reductase (DHFR)	Protein	P00376	Bos taurus	BindingDB	23792351	IC50	=	 80	III
Methotrexate	Dihydrofolate reductase (DHFR)	Protein	P00376	Bos taurus	BindingDB	24469112	IC50	=	 80	III
Methotrexate	PADI4	Protein	Q9UM07	Homo sapiens	BindingDB	17964793	IC50	>	10000000	III
Methotrexate	FOLR2	Protein	P14207	Homo sapiens	BindingDB	25234128	IC50	=	 211	III
Methotrexate	FOLR2	Protein	P14207	Homo sapiens	BindingDB	25234128	IC50	=	 106	III
Methotrexate	Thymidylate synthase	Protein	P07607	Mus musculus	BindingDB	2704031	IC50	=	 20000	III
Methotrexate	Thymidylate synthase	Protein	P07607	Mus musculus	BindingDB	3339615	IC50	=	 20000	III
Methotrexate	Thymidylate synthase	Protein	P07607	Mus musculus	BindingDB	7086836	Ki	=	 45000	III
Methotrexate	SLC46A1	Protein	Q96NT5	Homo sapiens	BindingDB	25234128	IC50	=	 121	III
Raloxifene Hydrochloride	SIGMAR1	Protein	Q99720	Homo sapiens	BindingDB	16033255	Ki	=	 38	III
Raloxifene Hydrochloride	Cruzipain	Protein	P25779	Trypanosoma cruzi	BindingDB	20426472	IC50	=	 33000	III
Raloxifene Hydrochloride	Cruzipain	Protein	P25779	Trypanosoma cruzi	BindingDB	19908840	IC50	>	60000	III
Raloxifene Hydrochloride	Cruzipain	Protein	P25779	Trypanosoma cruzi	BindingDB	20426472	IC50	=	 128000	III
Raloxifene Hydrochloride	Bfl-1	Protein	Q07440	Mus musculus	BindingDB	NA_PubChem_aid504689	IC50	>	20000	III
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	DrugBank	10477535	NA	NA	NA	II
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	DrugBank	16951478	NA	NA	NA	II
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	DrugBank	10376571	NA	NA	NA	II
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	DrugBank	10418979	NA	NA	NA	II
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	DrugBank	10507743	NA	NA	NA	II
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	DrugBank	10485477	NA	NA	NA	II
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	IUPHAR	11150164	NA	NA	NA	II
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	DrugBank	18778124	NA	NA	NA	II
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	IUPHAR	9048584	NA	NA	NA	II
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	DrugBank	10068418	NA	NA	NA	II
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	BindingDB	15911274	IC50	=	 0.89	III
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	BindingDB	16203138	IC50	=	 1.8	III
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	BindingDB	11356100	IC50	=	 4	III
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	BindingDB	15225685	IC50	=	 1.8	III
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	BindingDB	NA_BindingDB_ChEMBL	Ki	=	 0.37	III
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	BindingDB	16722623	IC50	=	 1.8	III
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	BindingDB	15125925	IC50	=	 1.8	III
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	BindingDB	18457385	EC50	=	 22	III
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	BindingDB	16162002	Ki	=	 0.03	III
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	BindingDB	15225686	IC50	=	 1.8	III
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	BindingDB	12459017	IC50	=	 0.7	III
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	BindingDB	16499324	IC50	=	 0.46	III
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	BindingDB	17489582	IC50	=	 20.6	III
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	BindingDB	12565955	IC50	=	 1.8	III
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	BindingDB	11906280	IC50	=	 22	III
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	BindingDB	12749895	Ki	=	 0.4	III
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	BindingDB	19366247	IC50	=	 24	III
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	BindingDB	11356100	IC50	=	 0.72	III
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	BindingDB	15658851	IC50	=	 22	III
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	BindingDB	10673099	IC50	=	 0.720000	III
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	BindingDB	19366247	IC50	=	 222	III
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	BindingDB	15582421	IC50	=	 1.8	III
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	BindingDB	16250633	Ki	=	 0.37	III
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	BindingDB	10673099	IC50	=	 2	III
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	BindingDB	11459665	Ki	=	 0.22	III
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	BindingDB	12749898	IC50	=	 7	III
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	BindingDB	NA_BindingDB_ChEMBL	Ki	=	 0.38	III
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	BindingDB	15109649	IC50	=	 1.8	III
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	BindingDB	15713417	IC50	=	 0.73	III
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	BindingDB	18722117	Ki	=	 2	III
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	BindingDB	15006374	IC50	=	 1.8	III
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	BindingDB	15084115	IC50	=	 1.8	III
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	BindingDB	12825935	IC50	=	 22	III
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	BindingDB	20659801	IC50	=	 0.3	III
Raloxifene Hydrochloride	ESR1	Protein	P03372	Homo sapiens	BindingDB	19366247	IC50	=	 1.8	III
Raloxifene Hydrochloride	ESR2	Protein	Q92731	Homo sapiens	DrugBank	12097269	NA	NA	NA	II
Raloxifene Hydrochloride	ESR2	Protein	Q92731	Homo sapiens	DrugBank	11810032	NA	NA	NA	II
Raloxifene Hydrochloride	ESR2	Protein	Q92731	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Raloxifene Hydrochloride	ESR2	Protein	Q92731	Homo sapiens	DrugBank	11500849	NA	NA	NA	II
Raloxifene Hydrochloride	ESR2	Protein	Q92731	Homo sapiens	DrugBank	10418979	NA	NA	NA	II
Raloxifene Hydrochloride	ESR2	Protein	Q92731	Homo sapiens	DrugBank	11861516	NA	NA	NA	II
Raloxifene Hydrochloride	ESR2	Protein	Q92731	Homo sapiens	BindingDB	15225685	IC50	=	 12	III
Raloxifene Hydrochloride	ESR2	Protein	Q92731	Homo sapiens	BindingDB	19366247	IC50	=	 8.2	III
Raloxifene Hydrochloride	ESR2	Protein	Q92731	Homo sapiens	BindingDB	17489582	IC50	=	 557	III
Raloxifene Hydrochloride	ESR2	Protein	Q92731	Homo sapiens	BindingDB	18722117	Ki	=	 23	III
Raloxifene Hydrochloride	ESR2	Protein	Q92731	Homo sapiens	BindingDB	NA_BindingDB_ChEMBL	Ki	=	 2.74	III
Raloxifene Hydrochloride	ESR2	Protein	Q92731	Homo sapiens	BindingDB	15006374	IC50	=	 12	III
Raloxifene Hydrochloride	ESR2	Protein	Q92731	Homo sapiens	BindingDB	15125925	IC50	=	 12	III
Raloxifene Hydrochloride	ESR2	Protein	Q92731	Homo sapiens	BindingDB	12749898	IC50	=	 470	III
Raloxifene Hydrochloride	ESR2	Protein	Q92731	Homo sapiens	BindingDB	16162002	Ki	=	 4.5	III
Raloxifene Hydrochloride	ESR2	Protein	Q92731	Homo sapiens	BindingDB	15993065	IC50	=	 1.9	III
Raloxifene Hydrochloride	ESR2	Protein	Q92731	Homo sapiens	BindingDB	11459665	Ki	=	 10	III
Raloxifene Hydrochloride	ESR2	Protein	Q92731	Homo sapiens	BindingDB	15084115	IC50	=	 12	III
Raloxifene Hydrochloride	ESR2	Protein	Q92731	Homo sapiens	BindingDB	15713417	IC50	=	 18.9	III
Raloxifene Hydrochloride	ESR2	Protein	Q92731	Homo sapiens	BindingDB	12749895	Ki	=	 4.3	III
Raloxifene Hydrochloride	ESR2	Protein	Q92731	Homo sapiens	BindingDB	12825935	IC50	=	 260	III
Raloxifene Hydrochloride	ESR2	Protein	Q92731	Homo sapiens	BindingDB	15658851	IC50	=	 260	III
Raloxifene Hydrochloride	ESR2	Protein	Q92731	Homo sapiens	BindingDB	11906280	IC50	=	 260	III
Raloxifene Hydrochloride	ESR2	Protein	Q92731	Homo sapiens	BindingDB	15109649	IC50	=	 12	III
Raloxifene Hydrochloride	ESR2	Protein	Q92731	Homo sapiens	BindingDB	16722623	IC50	=	 8.2	III
Raloxifene Hydrochloride	ESR2	Protein	Q92731	Homo sapiens	BindingDB	15582421	IC50	=	 12	III
Raloxifene Hydrochloride	ESR2	Protein	Q92731	Homo sapiens	BindingDB	11356100	IC50	=	 43	III
Raloxifene Hydrochloride	ESR2	Protein	Q92731	Homo sapiens	BindingDB	16250633	Ki	=	 2.74	III
